drug	canonicalsmiles	maccs_3	maccs_6	maccs_7	maccs_8	maccs_9	maccs_10	maccs_11	maccs_12	maccs_13	maccs_14	maccs_15	maccs_16	maccs_17	maccs_18	maccs_19	maccs_20	maccs_21	maccs_22	maccs_23	maccs_24	maccs_25	maccs_26	maccs_27	maccs_28	maccs_29	maccs_30	maccs_31	maccs_32	maccs_33	maccs_34	maccs_35	maccs_36	maccs_37	maccs_38	maccs_39	maccs_40	maccs_41	maccs_42	maccs_43	maccs_44	maccs_45	maccs_46	maccs_47	maccs_48	maccs_49	maccs_50	maccs_51	maccs_52	maccs_53	maccs_54	maccs_55	maccs_56	maccs_57	maccs_58	maccs_59	maccs_60	maccs_61	maccs_62	maccs_63	maccs_64	maccs_65	maccs_66	maccs_67	maccs_68	maccs_69	maccs_70	maccs_71	maccs_72	maccs_73	maccs_74	maccs_75	maccs_76	maccs_77	maccs_78	maccs_79	maccs_80	maccs_81	maccs_82	maccs_83	maccs_84	maccs_85	maccs_86	maccs_87	maccs_88	maccs_89	maccs_90	maccs_91	maccs_92	maccs_93	maccs_94	maccs_95	maccs_96	maccs_97	maccs_98	maccs_99	maccs_100	maccs_101	maccs_102	maccs_103	maccs_104	maccs_105	maccs_106	maccs_107	maccs_108	maccs_109	maccs_110	maccs_111	maccs_112	maccs_113	maccs_114	maccs_115	maccs_116	maccs_117	maccs_118	maccs_119	maccs_120	maccs_121	maccs_122	maccs_123	maccs_124	maccs_125	maccs_126	maccs_127	maccs_128	maccs_129	maccs_130	maccs_131	maccs_132	maccs_133	maccs_134	maccs_135	maccs_136	maccs_137	maccs_138	maccs_139	maccs_140	maccs_141	maccs_142	maccs_143	maccs_144	maccs_145	maccs_146	maccs_147	maccs_148	maccs_149	maccs_150	maccs_151	maccs_152	maccs_153	maccs_154	maccs_155	maccs_156	maccs_157	maccs_158	maccs_159	maccs_160	maccs_161	maccs_162	maccs_163	maccs_164	maccs_165	maccs_166
5-Fluorouracil	C1=C(C(=O)NC(=O)N1)F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0
Veliparib	CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	0
MK-1775	CC(C)(C1=NC(=CC=C1)N2C3=NC(=NC=C3C(=O)N2CC=C)NC4=CC=C(C=C4)N5CCN(CC5)C)O	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
915019-65-7	CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	1	1	0	0	1	1	1	0	0	0	1	0	1	0	1	0	1	1	1	1	1	1	0
Bortezomib	B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0
Carboplatinum	C1CC(C1)(C(=O)O)C(=O)O.N.N.[Pt]	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	1	1
cyclophosphamide	C1CNP(=O)(OC1)N(CCCl)CCCl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0
Dasatinib	CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0	1	0	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
dexamethasone	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	1	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	0	1	1	1	0
Dinaciclib	CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCCC4CCO	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0
