PC1	PC2	PC3	PC4	PC5	MACCS1_c	MACCS2_c	MACCS3_c	MACCS4_c	MACCS1_r	MACCS2_r	MACCS3_r	MACCS4_r	conc_c	conc_r	inhibition	drug_r	drug_c	cell
Cell_Line_10__Drug_2__0.1__Drug_1__0.2	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	1	0	0	1	1	0	0	0.1	0.2	1	Drug_1	Drug_2	Cell_Line_10
Cell_Line_10__Drug_2__0.2__Drug_1__0.2	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	1	0	0	1	1	0	0	0.2	0.2	8.90909090909091	Drug_1	Drug_2	Cell_Line_10
Cell_Line_10__Drug_2__0.4__Drug_1__0.2	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	1	0	0	1	1	0	0	0.4	0.2	16.8181818181818	Drug_1	Drug_2	Cell_Line_10
Cell_Line_10__Drug_2__0.7__Drug_1__0.2	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	1	0	0	1	1	0	0	0.7	0.2	24.7272727272727	Drug_1	Drug_2	Cell_Line_10
Cell_Line_10__Drug_2__0.1__Drug_1__0.5	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	1	0	0	1	1	0	0	0.1	0.5	32.6363636363636	Drug_1	Drug_2	Cell_Line_10
Cell_Line_10__Drug_2__0.2__Drug_1__0.5	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	1	0	0	1	1	0	0	0.2	0.5	40.5454545454545	Drug_1	Drug_2	Cell_Line_10
Cell_Line_10__Drug_2__0.4__Drug_1__0.5	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	1	0	0	1	1	0	0	0.4	0.5	48.4545454545455	Drug_1	Drug_2	Cell_Line_10
Cell_Line_10__Drug_2__0.7__Drug_1__0.5	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	1	0	0	1	1	0	0	0.7	0.5	56.3636363636364	Drug_1	Drug_2	Cell_Line_10
Cell_Line_10__Drug_2__0.1__Drug_1__1	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	1	0	0	1	1	0	0	0.1	1	64.2727272727273	Drug_1	Drug_2	Cell_Line_10
Cell_Line_10__Drug_2__0.2__Drug_1__1	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	1	0	0	1	1	0	0	0.2	1	72.1818181818182	Drug_1	Drug_2	Cell_Line_10
