Gene_1	Gene_2	Gene_3	Gene_4	Gene_5	Gene_6	Gene_7	Gene_8	Gene_9	Gene_10	Gene_11	Gene_12	Gene_13	Gene_14	Gene_15	Gene_16	Gene_17	Gene_18	Gene_19	Gene_20	Gene_21	Gene_22	Gene_23	Gene_24	Gene_25	Gene_26	Gene_27	Gene_28	Gene_29	Gene_30
Cell_Line_1	7.63202317146339	2.96458512058924	10.3795526353077	3.61479404843988	3.38068143582194	3.32469189081249	3.56635031211478	8.20453043072163	5.2351175492262	5.36903904752196	3.59699272358274	7.64175629597338	4.5490653001534	4.48826102595935	4.11830865685748	3.02496968507587	8.29644364505863	3.6466147227115	3.78046654337665	7.45840933213102	6.45392619436756	9.46047771590451	3.51744533162715	3.35049766671843	3.74103168484142	2.66139265872151	5.20043147349996	4.93168146368137	4.76745682666373	2.9758213100998
Cell_Line_2	7.54867116637172	2.77771614989839	11.8073412488458	4.066886747621	3.73248465377029	3.15240438414212	7.8271724820158	6.61697203154834	5.80926370534236	7.20965319404886	3.75354839888058	5.71540384652893	4.30662684128237	6.03056432590901	3.9514784188382	3.12394291321361	8.31360892547755	3.858846039218	3.92177835570301	7.47932671162353	6.74282610283853	9.47460621980549	3.044296655439	3.21004987775263	2.72945286694698	2.78826172398543	6.13983999417823	4.52564657758	5.24630062902714	3.03502399888608
Cell_Line_3	8.71233752103624	2.6435077554121	9.88073281995499	3.95622995046262	3.23662007804984	3.24124610651453	2.93103362004211	8.19124618977281	5.42684095421061	5.12074687841927	3.94606419547474	5.60123480293328	3.83219045613529	4.54856428105988	4.44008404450516	2.89673289111848	7.93861113531272	3.81161441999869	3.59786411901014	7.41967204506534	5.65569064232346	10.0113285330512	3.92439403749186	3.21572660328903	2.69916176384876	2.902830739604	5.39387033965213	4.14547989566524	4.64579950385679	2.84625978788624
Cell_Line_4	7.79714221650204	2.8179230218265	9.88347076381233	4.06370139098185	3.55841402145301	3.10124650460458	7.21170650542184	8.63064336093422	5.61771400002356	4.99643431213985	3.37873572743526	6.75279078040805	3.51254727872865	5.30989627812621	4.21027221248663	2.95009299932585	7.23135432517008	3.77295141713591	3.22016376900776	7.7311374552673	5.25936683389949	8.1731468847439	2.95708501595248	3.39618667649948	2.73219023311098	3.00089902789018	5.44717371235831	4.97173626059544	4.55883623209515	2.96539807454866
Cell_Line_5	7.72926756674919	2.95773930470788	10.4188397800194	4.34150019224863	3.84037288644052	3.00180183524658	3.37542213233378	8.29694977479677	5.66941775963608	4.18020524133575	3.20359743986002	6.18865471307999	4.2738503547208	5.6252573062868	3.6252194292601	3.12188069093317	8.76505650611061	3.72798304514773	3.97408529987681	6.99898113702416	4.61139458669467	9.16907836725256	4.03104954473211	3.41070476048656	2.84194897544391	2.8037824354546	5.38334912257139	5.40295166623121	5.45669206325639	2.96455966636455
Cell_Line_6	7.07453348620132	2.88967694292715	9.77398676657725	4.27090270818336	3.81505548634261	3.29891494305773	4.3363190478614	8.83867122142894	5.65698790004983	5.47976600419042	3.75612146161302	7.3323747472542	3.82104523519175	3.21808903450234	3.89376138735161	2.95613593569117	8.4568816513159	3.77706726500581	3.45066365847706	6.55020966453507	6.93077739290471	9.58186078595056	3.73323393629821	2.9605097732717	2.76521610539246	2.73420631007423	8.90091955004046	4.07721802717888	5.0995421710031	2.78598393294177
Cell_Line_7	3.2851981767132	2.8282032650296	10.2643850867555	5.96816755766797	3.01186718296762	9.56530789658723	3.20943535964836	6.85941401808548	5.62299917208926	5.11305537436922	3.24033516485723	5.37931897954531	3.72947771189037	5.66878404178076	3.56424040422753	2.95269365968421	8.4787788402308	4.05535416883696	3.4747307896075	6.35406264172382	8.56070674961091	8.28364407039252	2.85369439833575	4.09511998809648	2.82343939170482	2.72504890250715	9.23076176053532	4.19621578428318	7.57434800337138	3.23518017910081
Cell_Line_8	6.96160630196858	2.87475090701981	10.205931284111	3.71503288065243	3.26844877241535	3.03633266537144	5.79278382694569	8.60705869880554	5.04208516017425	4.53756177391909	3.69852053794548	7.70345526380744	3.73782506074642	5.52709379383415	4.59602871457797	2.98284136241565	8.10021716734961	4.29828034287774	3.40829998890827	7.94083840687969	7.81591528014452	8.79937823189405	3.21303104121242	3.39942779059141	2.8691456904288	3.01697149839518	5.4925660203735	4.96246062835924	4.8797845444723	3.41039221946391
Cell_Line_9	5.94304600694093	2.6868741563448	10.2997570157443	3.84811236665577	3.35283480917673	3.27868810977747	3.24673849118562	8.2908433075263	5.77702886140225	5.39663665243749	3.3380854919922	6.89589580199252	3.94419819796074	3.45647325034497	4.18066465892132	3.09208413020318	9.59745235743457	3.92076825353353	4.26574611641068	7.48869016629563	4.76514064773724	8.73776433469276	3.00484249399784	3.24122723320742	2.74154145459158	2.59892501920719	6.98109446402299	4.74996857776341	4.84296559352305	3.13806899687293
Cell_Line_10	3.45595060222525	3.29018354379629	11.5701547359116	5.56088290279959	3.57122797184999	3.37088531891391	3.11553280803351	7.80125758323408	5.47971836401729	5.01602200188496	3.4894157927909	8.28658875989385	4.2518933779257	3.75234958319508	4.75219780743675	3.16075390102586	8.6491101142789	3.75973158369159	3.33914474937914	8.77195828810003	7.59367660328268	6.93740455761798	3.10006524345563	3.28155921188123	2.94650043323141	2.71789745697453	5.0332771932368	4.75169525614088	7.80937882870886	3.12460672516606
Cell_Line_11	9.02145756125944	3.09819789316316	10.0611103903637	3.87903906700536	3.66793466780816	3.27653014626023	4.01479309019479	9.43216603190452	7.76702174893588	4.76454551241595	4.13897517713719	7.20042760063714	3.88096029843912	5.74027408885249	3.72875427013592	2.94068774210558	8.63490323016753	3.22459573451108	3.27292157491206	7.64382712466287	6.17267244270694	9.85667595466046	4.44779978946907	4.12754479594908	2.86172935815128	2.79721454407886	6.2918256157131	4.97217988112183	5.2442474346654	3.02775447813767
Cell_Line_12	5.54264479528972	2.73664349118648	9.89011185813085	3.34642223458834	3.06772659679586	3.25353823509757	3.30083135560913	8.07496814745976	5.23466210440028	4.34839753779767	4.22058788649437	8.4219382010954	3.83464494935326	3.34407104754246	3.92267162274196	3.0102347237301	8.76188481778032	3.7307098190036	3.42051912343813	7.58053388143226	6.66410906921169	10.2294375749825	3.48205709291893	3.48537852886224	2.83204710480946	2.6691124121584	9.47409314494152	4.2032879212269	5.21807738995738	3.07638464772226
Cell_Line_13	7.15686715790002	2.70732914786107	10.3276103557289	3.45626103583283	3.18090270279793	3.17403698743118	3.25987177553933	8.20178815790097	5.4890784634302	5.35562008438674	3.96299865939952	6.53279897209957	4.05400846903943	4.60886237623761	4.06672150410985	3.81839973868407	8.85116110162611	3.63234479333627	3.45911997137564	6.89425536282705	7.42420501877692	10.6491315473437	3.08903518618335	3.09250210540383	2.78050113329902	2.55982251103852	6.3461454383182	4.61987055254946	5.31456120060445	3.361761837042
Cell_Line_14	7.40914810440646	2.85048420499413	10.2854055002227	3.3529668447412	3.38910857343324	2.97377987994444	7.14455558153169	8.7623330308253	6.0605003948157	4.71082878642921	3.95460347793313	7.22791257504598	4.0430830555966	4.98721325332645	3.86084164511722	3.09412903873801	8.40458585789566	3.88226315324343	3.1435275922989	7.38546375040916	8.49265174257581	9.86873064154913	3.01860273812974	3.26732579256363	2.98008240315141	2.68980503978503	5.58775468227209	4.92638749640182	5.77637188914495	3.07603552455211
Cell_Line_15	9.1726272104201	2.85348126651736	10.1112115196543	4.57936382352096	3.88394623162357	3.5077722034625	5.20614805860608	7.7028428873463	7.37559290189786	5.1919605795286	3.81700691248447	7.46140134710599	3.71633396919654	4.57767503524145	6.75037742082743	3.16866000290088	8.69589136540621	4.14804236200539	3.58620423827157	6.85109571851236	5.70244559137273	9.25644801052915	7.01613374105441	3.29942137664052	2.85468137170731	2.58073806128754	5.28363771750003	5.11258515235413	4.93217616160499	2.80701050724625
Cell_Line_16	7.07912060010036	2.82398482048978	9.5050738031229	4.02763824201557	3.60867590166331	3.46253853853744	3.43554662068495	9.11848810473477	4.58372783421588	4.99049334955888	4.27140489536662	7.87818368869442	3.47095285770835	3.72084902492368	3.68801871235788	2.81360061536634	8.27806452616521	3.46027170587466	3.661465361631	6.34382897569453	6.60489930262765	11.0060615752517	3.48220089324154	3.9632849160378	2.83650591241248	2.64889840738126	4.99885007051225	5.49997036080839	4.97171722766745	3.02752526648659
